2026-03-27 19:44:47,228 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-27 19:44:47,228 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-27 19:44:47,233 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
2026-03-27 19:46:00,831 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-27 19:46:00,831 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-27 19:46:00,835 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
2026-03-27 19:47:13,483 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-27 19:47:13,484 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-27 19:47:13,487 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
2026-03-27 19:49:04,968 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-27 19:49:04,969 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-27 19:49:04,972 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
2026-03-28 00:00:53,129 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-28 00:00:53,129 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-28 00:00:53,133 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
2026-03-28 00:10:40,392 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-28 00:10:40,393 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-28 00:10:40,395 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
2026-03-28 00:11:44,623 | INFO | app.pipelines.clustering_pipeline | Loaded 6 embedded images from C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts (6 timestamps available, 0 missing).
2026-03-28 00:11:44,623 | INFO | app.pipelines.clustering_pipeline | Clustering with method=graph similarity_threshold=0.940 max_time_gap_seconds=30.0 time_filter_required=True.
2026-03-28 00:11:44,627 | INFO | app.pipelines.clustering_pipeline | Saved 6 cluster assignments across 2 clusters to C:\Users\tylle\OneDrive\Documents\Playground\_ai_smoke_input2\.image_triage_ai\artifacts\clusters.csv.
